sample,NMFS_DNA_ID,BOX_ID,BOX_POSITION,SAMPLE_ID,BATCH_ID,GENUS,SPECIES,STATE_F,WATERSHED,WATER_NAME,wn_abbr,region,ndata,nfiltered,nmiss,fmiss,nsites,depth
s0062,AP028684,AP302,7H,PEN-BLA_0003,4478,Alosa,pseudoharengus,New York,Hudson River,Black Creek,BLA,MAT,11884669,0,2105985,0.177202,11881527,3.21431
s0063,AP028685,AP302,8A,PEN-BLA_0004,4478,Alosa,pseudoharengus,New York,Hudson River,Black Creek,BLA,MAT,11884669,0,1758838,0.147992,11881032,3.73585
s0064,AP028686,AP302,8B,PEN-BLA_0005,4478,Alosa,pseudoharengus,New York,Hudson River,Black Creek,BLA,MAT,11884669,0,1872636,0.157567,11880996,3.9811
s0065,AP028687,AP302,8C,PEN-BLA_0006,4478,Alosa,pseudoharengus,New York,Hudson River,Black Creek,BLA,MAT,11884669,0,2670785,0.224725,11881557,2.62895
s0066,AP028688,AP302,8D,AHUNY30,4478,Alosa,pseudoharengus,New York,Hudson River,Hudson River,HUD,MAT,11884669,0,2025355,0.170417,11881163,3.32207
s0067,AP028689,AP302,8E,AHUNY31,4478,Alosa,pseudoharengus,New York,Hudson River,Hudson River,HUD,MAT,11884669,0,2120902,0.178457,11880958,3.15943
s0068,AP028690,AP302,8F,AHUNY32,4478,Alosa,pseudoharengus,New York,Hudson River,Hudson River,HUD,MAT,11884669,0,1731301,0.145675,11880760,4.00771
s0069,AP028691,AP302,8G,AHUNY33,4478,Alosa,pseudoharengus,New York,Hudson River,Hudson River,HUD,MAT,11884669,0,1636551,0.137703,11880783,4.09349
s0070,AP028692,AP302,8H,AHUNY34,4478,Alosa,pseudoharengus,New York,Hudson River,Hudson River,HUD,MAT,11884669,0,1718117,0.144566,11881300,4.03561
s0071,AP028693,AP302,9A,AHUNY35,4478,Alosa,pseudoharengus,New York,Hudson River,Hudson River,HUD,MAT,11884669,0,1479130,0.124457,11880555,4.56083
s0072,AP028694,AP302,9B,11MIR_0007,4478,Alosa,pseudoharengus,Canada,Miramichi River,Miramichi River,MIR,CAN,11884669,0,2009725,0.169102,11881107,3.43478
